Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
PluginName,Plugin Name,OBJモデル,OBJ Model,OBJ模型,OBJ模型,OBJ 모델,Modelo OBJ,نموذج OBJ,
CoordinateSystem,Setting Label,座標系,Coordinate System,坐标系,座標系,좌표계,Sistema de coordenadas,نظام الإحداثيات,
CoordinateSystem_Desc,Setting Description,モデル読み込み時の座標軸の向きを設定します。,Sets the orientation of the coordinate axes when loading the model.,设置加载模型时的坐标轴方向。,設定載入模型時的座標軸方向。,모델 로드 시 좌표축의 방향을 설정합니다.,Establece la orientación de los ejes de coordenadas al cargar el modelo.,يحدد اتجاه محاور الإحداثيات عند تحميل النموذج.,
CoordinateSystem_RightHandedYUp,Enum Value,右手系 Y-Up (標準),Right-Handed Y-Up (Default),右手系 Y-Up (标准),右手系 Y-Up (預設),오른손 좌표계 Y-Up (표준),Mano derecha Y-Up (Estándar),يد يمنى Y-Up (افتراضي),
CoordinateSystem_RightHandedZUp,Enum Value,右手系 Z-Up,Right-Handed Z-Up,右手系 Z-Up,右手系 Z-Up,오른손 좌표계 Z-Up,Mano derecha Z-Up,يد يمنى Z-Up,
CoordinateSystem_LeftHandedYUp,Enum Value,左手系 Y-Up,Left-Handed Y-Up,左手系 Y-Up,左手系 Y-Up,왼손 좌표계 Y-Up,Mano izquierda Y-Up,يد يسرى Y-Up,
CoordinateSystem_LeftHandedZUp,Enum Value,左手系 Z-Up,Left-Handed Z-Up,左手系 Z-Up,左手系 Z-Up,왼손 좌표계 Z-Up,Mano izquierda Z-Up,يد يسرى Z-Up,
CullMode,Setting Label,カリング,Culling,剔除,剔除,컬링,Recorte,إعدام,
CullMode_Desc,Setting Description,描画時のカリングモードを設定します。,Sets the culling mode for rendering.,设置渲染时的剔除模式。,設定算繪時的剔除模式。,렌더링 시 컬링 모드를 설정합니다.,Establece el modo de recorte para el renderizado.,يحدد وضع الإعدام للتصيير.,
CullMode_None,Enum Value,なし,None,无,無,없음,Ninguno,لا شيء,
CullMode_Front,Enum Value,表面,Front,正面,正面,앞면,Frente,أمام,
CullMode_Back,Enum Value,裏面,Back,背面,背面,뒷면,Dorso,خلف,
Group_Global,Group Title,全体設定,Global Settings,全局设置,全域設定,전체 설정,Configuración global,الإعدادات العامة,
Group_Lighting,Group Title,ライティング,Lighting,光照,光照,조명,Iluminación,إضاءة,
AmbientColor,Setting Label,アンビエント色,Ambient Color,环境光颜色,環境光顏色,앰비언트 색상,Color ambiental,لون المحيط,
